algorithm,condition,evaluations,event_id,seconds,seed_index
NSGA-III,normal,4000,P07,21.18534140009433,4
NSGA-III,normal,4000,P07,20.625594399869442,5
NSGA-III,normal,4000,P07,21.352876000106335,6
NSGA-III,normal,4000,P07,21.426926399581134,7
NSGA-III,normal,4000,P07,21.54619440017268,8
NSGA-III,normal,4000,P07,21.023995500057936,9
NSGA-II,normal,4000,P07,18.66551740001887,0
NSGA-II,normal,4000,P07,20.00341900018975,1
NSGA-II,normal,4000,P07,18.692704999819398,2
NSGA-II,normal,4000,P07,18.750427800230682,3
NSGA-II,normal,4000,P07,19.287453799974173,4
NSGA-II,normal,4000,P07,19.22828309983015,5
NSGA-II,normal,4000,P07,19.586081499699503,6
NSGA-II,normal,4000,P07,19.82937219971791,7
NSGA-II,normal,4000,P07,20.287234399933368,8
NSGA-II,normal,4000,P07,19.79008310008794,9
SPEA2,normal,4000,P07,43.739671300165355,0
SPEA2,normal,4000,P07,43.616492100059986,1
SPEA2,normal,4000,P07,44.38952570036054,2
SPEA2,normal,4000,P07,42.59517199965194,3
SPEA2,normal,4000,P07,42.518800400197506,4
SPEA2,normal,4000,P07,43.79529969999567,5
SPEA2,normal,4000,P07,43.89722569985315,6
SPEA2,normal,4000,P07,44.76293409988284,7
SPEA2,normal,4000,P07,43.92052990011871,8
SPEA2,normal,4000,P07,44.69651110004634,9
MOABC,normal,4000,P08,17.942320799920708,0
MOABC,normal,4000,P08,17.358266400173306,1
MOABC,normal,4000,P08,17.970963300205767,2
MOABC,normal,4000,P08,17.745693100150675,3
MOABC,normal,4000,P08,18.318621299695224,4
MOABC,normal,4000,P08,18.26631430024281,5
MOABC,normal,4000,P08,19.213070099707693,6
MOABC,normal,4000,P08,18.762975600082427,7
MOABC,normal,4000,P08,18.23141170013696,8
MOABC,normal,4000,P08,18.436668999958783,9
MOEA/D,normal,4000,P08,15.033785399980843,0
MOEA/D,normal,4000,P08,14.99665129976347,1
MOEA/D,normal,4000,P08,14.799648200161755,2
MOEA/D,normal,4000,P08,14.967346800025553,3
MOEA/D,normal,4000,P08,14.55547389993444,4
MOEA/D,normal,4000,P08,14.499532400164753,5
MOEA/D,normal,4000,P08,14.596427600365132,6
MOEA/D,normal,4000,P08,14.51759220007807,7
MOEA/D,normal,4000,P08,14.585768400225788,8
MOEA/D,normal,4000,P08,14.444472999777645,9
MOPSO,normal,4000,P08,14.424438900314271,0
MOPSO,normal,4000,P08,14.268601600080729,1
MOPSO,normal,4000,P08,14.484275300055742,2
MOPSO,normal,4000,P08,14.513058400247246,3
MOPSO,normal,4000,P08,14.514744199812412,4
MOPSO,normal,4000,P08,8.496738400310278,5
MOPSO,normal,4000,P08,7.002256399951875,6
MOPSO,normal,4000,P08,6.9501483999192715,7
MOPSO,normal,4000,P08,6.891319700051099,8
MOPSO,normal,4000,P08,6.855011699721217,9
NSGA-III,normal,4000,P08,22.04986899998039,0
NSGA-III,normal,4000,P08,22.099870400037616,1
NSGA-III,normal,4000,P08,23.10979830008,2
NSGA-III,normal,4000,P08,22.531836200039834,3
NSGA-III,normal,4000,P08,22.58615869982168,4
NSGA-III,normal,4000,P08,22.08414989989251,5
NSGA-III,normal,4000,P08,22.19935750029981,6
NSGA-III,normal,4000,P08,22.051299400161952,7
NSGA-III,normal,4000,P08,21.810224100016057,8
NSGA-III,normal,4000,P08,22.322878200095147,9
NSGA-II,normal,4000,P08,21.127571400254965,0
NSGA-II,normal,4000,P08,20.74684050027281,1
NSGA-II,normal,4000,P08,20.659624100197107,2
NSGA-II,normal,4000,P08,19.879028900060803,3
NSGA-II,normal,4000,P08,19.861703800037503,4
NSGA-II,normal,4000,P08,19.87606839975342,5
NSGA-II,normal,4000,P08,20.399062699638307,6
